setMaxWidth(double): 2
impl_hasTransforms(): 2
access$902(javafx: 2
LinkedList): 2
parentEffectiveOrientationInvalidated(): 2
SupportedType, javafx: 2
FXMLLoader, String, Class): 2
initialize(Object): 2
processProcessingInstruction(): 2
access$3500(): 2
setText(String): 2
loadTypeForPackage(String, String): 2
Scene, Object, String): 2
getKeyHandler(): 2
processCSS(): 2
windowPropertyImpl(): 2
doCSSPass(): 2
computeMaxPrefAreaHeight(java: 2
isFocused(): 2
setOwnerScene(javafx: 2
getPreferredHeight(javafx: 2
getTextOrigin(): 2
getSavedState(): 2
HBox$StyleableProperties: 2
WindowEvent): 2
Callback, double[], boolean, boolean): 2
SimpleStringProperty: 2
setWindowFocused(boolean): 2
Region, boolean): 2
windowForSceneChanged(javafx: 2
<init>(Object, String, boolean): 2
Control, javafx: 2
BuilderFactory): 2
access$3800(): 2
BooleanPropertyBase$Listener: 2
getLocalToSceneTransform(): 2
setDefaultButton(boolean): 2
getAntiAliasingInternal(): 2
localToParentTransformProperty(): 2
adjustAreaWidths(java: 2
Styleable, String): 2
access$002(javafx: 2
setImpl_selectionStart(int): 2
Control, java: 2
setValue(String): 2
getFarClip(): 2
LinearGradient: 2
impl_preferredSize(): 2
preferredSize(): 2
isBindingExpression(String): 2
closeAllTabs(): 2
isBidirectionalBindingExpression(String): 2
FXMLLoader$SupportedType: 2
SceneAntialiasing): 2
PseudoClass, boolean): 2
getMinBaselineComplement(): 2
SkinBase): 2
adjustAreaHeights(java: 2
centerOnScreen(): 2
fillWidthProperty(): 2
constructValue(): 2
getDefaultClassLoader(Class): 2
setEventHandler(javafx: 2
InputStream, double, double, boolean, boolean, boolean): 1
Scene$11: 1
FXMLLoader$ControllerAccessor$1: 1
access$100(): 1
isMaximized(): 1
ControllerAccessor, int, Class, int): 1
FXMLLoader, Object): 1
SaveDialog: 1
updatePeerScene(com: 1
access$700(): 1
valueOf(String): 1
getCacheHint(): 1
setFocusDirty(boolean): 1
clearImports(): 1
Scene$InputMethodRequestsDelegate: 1
TKScene): 1
Scene$MouseHandler$1: 1
setCharset(java: 1
initStyle(javafx: 1
getBlendMode(): 1
FileTabPane: 1
hasTransforms(): 1
GeneralTransform3D): 1
getWindowOwner(): 1
consume(): 1
MouseHandler): 1
access$1502(javafx: 1
Scene$ClickCounter: 1
access$2100(): 1
Stage, javafx: 1
<init>(String, Class, String): 1
isAlwaysOnTop(): 1
initModality(javafx: 1
KeyCombination$Modifier: 1
processCharacters(): 1
getPrefix(): 1
Affine3D): 1
isCache(): 1
setCallerClass(Class): 1
Stage$4: 1
loadImage(String, double, double, boolean, boolean): 1
Vec3d): 1
stream: 1
exit(): 1
MethodHandler): 1
xml: 1
FileTabPaneController): 1
computeViewTransform(com: 1
isIconified(): 1
Scene$ScenePulseListener: 1
Tab, Controllers: 1
validateUrl(String): 1
getAccess(int): 1
init(double, double): 1
FXMLLoader, javax: 1
SupportedType): 1
getEffect(): 1
toString(): 1
XMLStreamReader): 1
scanForConstructorAnnotations(Class): 1
FXMLLoader$ControllerMethodEventHandler: 1
importPackage(String): 1
MouseButton: 1
isFullScreen(): 1
getFileTabControllerMap(): 1
getTitle(): 1
getEventType(): 1
computePosition(com: 1
Modality): 1
getAttributePrefix(int): 1
KeyCombination: 1
<init>(Object, javafx: 1
checkAllPermissions(): 1
Scene$DropTargetListener: 1
FXMLLoader$Attribute: 1
Pos: 1
Scene$ScenePeerListener: 1
<init>(String, java: 1
computeProjectionTransform(com: 1
compareJFXVersions(String, String): 1
impl_setAllowPGAccess(boolean): 1
impl_clearDirty(com: 1
observableMap(java: 1
